YrSold,SalePrice,YearRemodAdd,MoSold,ExterQual,KitchenQual,OverallQual,FireplaceQu,BsmtQual,BsmtFinSF1,GrLivArea,GarageArea,LotArea,Neighborhood
0.5,0.33378196500672946,0.8833333333333333,0.09090909090909091,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.6666666666666666,0.3123893805309734,0.31690465223399356,0.3942446043165468,0.10046196044463693,0.20833333333333334
0.25,0.28186887137089023,0.43333333333333335,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5,0.6666666666666666,0.4327433628318584,0.21372639336711194,0.33093525179856115,0.11706366392377653,1.0
0.5,0.3626225725821957,0.8666666666666667,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.2150442477876106,0.33440810686319666,0.437410071942446,0.14088349935036812,0.20833333333333334
0.0,0.20207652374543358,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.3333333333333333,0.09557522123893805,0.31851681252878855,0.4618705035971223,0.11634185072903133,0.25
0.5,0.41357431263218614,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5,0.6666666666666666,0.28982300884955753,0.42929525564256105,0.6014388489208633,0.18433665367402916,0.625
0.75,0.20784464526052682,0.75,0.8181818181818182,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.25,0.6666666666666666,0.3238938053097345,0.23675725472132658,0.34532374100719426,0.1822433954092681,0.4583333333333333
0.25,0.5231686214189579,0.9166666666666666,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.75,1.0,0.6057522123893805,0.3132197144173192,0.45755395683453237,0.12405081564891006,0.875
0.75,0.3174389540472986,0.38333333333333336,0.9090909090909091,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.38008849557522123,0.4044219253800092,0.34820143884892085,0.12835282228959147,0.5833333333333334
0.5,0.1826571813112863,0.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.0,0.3316444035006909,0.3366906474820144,0.0668254655695106,0.7083333333333334
0.5,0.15977696596808305,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,0.3765486725663717,0.17111929986181484,0.1474820143884892,0.08559260863288581,0.125
